135,10916,yunlongqu/,开甲尚仕名邸北区,3室2厅1厨2卫,高楼层 (共6层),123.68㎡,复式,板楼,南 北,精装,无
129,14438,yunlongqu/,香溪左岸南区,2室1厅1厨1卫,中楼层 (共11层),89.35㎡,平层,板楼,南,精装,有
122,11710,yunlongqu/,开甲尚仕名邸北区,3室2厅1厨1卫,高楼层 (共18层),104.19㎡,平层,板楼,南 北,精装,有
128,10740,yunlongqu/,景染名居,3室2厅1厨1卫,低楼层 (共11层),119.19㎡,平层,板塔结合,南 北,精装,有
105,11529,yunlongqu/,云龙华府二期,2室1厅1厨1卫,中楼层 (共18层),91.08㎡,平层,板塔结合,南,精装,有
90,10550,yunlongqu/,山水康桥,2室2厅1厨1卫,中楼层 (共11层),85.31㎡,平层,板塔结合,南,精装,有
151,15590,yunlongqu/,华润橡树湾,3室2厅1厨1卫,中楼层 (共24层),96.86㎡,平层,板楼,南,简装,有
96,9169,yunlongqu/,民怡园,3室1厅1厨1卫,中楼层 (共7层),104.71㎡,平层,板塔结合,南 北,精装,无
89,12182,yunlongqu/,协鑫和平上东,2室1厅1厨1卫,中楼层 (共18层),73.06㎡,平层,板塔结合,南,毛坯,有
128,13047,yunlongqu/,协鑫和平上东,3室2厅1厨1卫,高楼层 (共18层),98.11㎡,平层,板塔结合,南,精装,有
128,12054,yunlongqu/,荣盛香榭兰庭,3室2厅1厨2卫,高楼层 (共24层),106.19㎡,平层,板塔结合,南,精装,有
95,7085,yunlongqu/,日成奥运城小区,3室2厅1厨1卫,低楼层 (共18层),134.1㎡,平层,板塔结合,南,简装,有
76,7504,yunlongqu/,天能小区,3室2厅1厨1卫,中楼层 (共7层),101.28㎡,平层,板楼,南,精装,无
144,14803,yunlongqu/,华润橡树湾,3室2厅1厨1卫,低楼层 (共24层),97.28㎡,平层,板楼,南,精装,有
158,11955,yunlongqu/,绿地世纪城六期,3室2厅1厨2卫,中楼层 (共18层),132.17㎡,平层,板塔结合,南 北,精装,有
151,16848,yunlongqu/,万科翡翠之光,3室2厅1厨1卫,高楼层 (共26层),89.63㎡,平层,板楼,南,其他,有
196,18068,yunlongqu/,万科翡翠之光,3室2厅1厨2卫,中楼层 (共26层),108.48㎡,平层,板楼,南 北,精装,有
